错误类型,源,工作,语言,句段,链接
其他,tajijin.org,2015春季通讯,en,120,跳到句段
其他,of,2015秋季通讯,en,1,跳到句段
拼写,著名主持人李静、崔永元、张越担任主持，汪峰、朱茵、康辉、元元、郑渊洁、爱戴等知名人士也到场支持。,2014及以前,en,37,跳到句段
拼写,蔡国庆、成方圆、马艳丽、李艾、杨若兮等知名人士积极参与。,2014及以前,en,42,跳到句段
拼写,联盟的成立得到中国野生动物保护协会的指导，以及腾讯公益/图片/视频的支持。,2015春季通讯,en,96,跳到句段
拼写,我们与青年艺术家顾湘合作制作了穿山甲主题T恤；在艺集文化  发展公司的帮助下，拍卖了青年雕塑家袁贝贝的穿山甲雕塑。,2015夏季通讯,en,17,跳到句段
拼写,美国的动物认知行为学家Marc bekoff教授赞赏它radio的传播意义，并授权它radio使用其著作和研究中的真实动物案例。,2015春季通讯,en,65,跳到句段
拼写,生态摄影师野生动物保护联盟由中国最大的生态摄影门户“鸟网”、中华社会救助基金会让候鸟飞公益基金公益基金、国内第一家动物保护基金会北京爱它动物保护公益基金会、中国公益摄影师协会、国内领先的影像艺术机构“雅昌影像”联合发起成立。,2015春季通讯,en,95,跳到句段
拼写,蔡国庆、成方圆、马艳丽、李艾、杨若兮等知名人士积极参与。,2014及以前,en,42,跳到句段
拼写,4月16日和17日，中国农业国际合作促进会动物福利国际合作委员 会（ICCAW）举办了“2015中欧生猪发展大会”。,2015夏季通讯,en,13,跳到句段
拼写,著名歌手齐秦、萧敬腾、朱茵、康辉等热情地帮助宣传“灰丝带”行动。,2014及以前,en,9,跳到句段
拼写,香港著名女星朱茵出任它基金“爱它大使”，并为它基金拍摄了公益广告。,2014及以前,en,34,跳到句段
拼写,著名主持人李静、崔永元、张越担任主持，汪峰、朱茵、康辉、元元、郑渊洁、爱戴等知名人士也到场支持。,2014及以前,en,37,跳到句段
拼写,它基金借着这个机会举办了一次“认识农场动物福利”记者沙龙，邀请了世界农场动物福    利协会的专家介绍了农场动物福利的基本概念，讨论了有关养殖业动物福利的热点话题。,2015夏季通讯,en,14,跳到句段
拼写,2015年3月，在全国两会期间，不少人大代表、政协委员呼吁加快动物保护立法进程。,2015春季通讯,en,47,跳到句段
拼写,它基金联合72名知名人士正式致函证监会，反对从事活熊取胆的福建归真堂药业的上市申请。,2014及以前,en,31,跳到句段
拼写,著名主持人李静、崔永元、张越担任主持，汪峰、朱茵、康辉、元元、郑渊洁、爱戴等知名人士也到场支持。,2014及以前,en,37,跳到句段
拼写,/ 北京东城区新中东街3号东外公馆911室,2015冬季通讯,en,62,跳到句段
拼写,从2015年夏天开始，我们就与深圳华强数字动漫有限公司出品的《熊出没之熊心归来》讨论了公益宣传方面的合作。,2015冬季通讯,en,20,跳到句段
拼写,/ 北京东城区新中东街3号东外公馆911室,2015冬季通讯,en,62,跳到句段
拼写,还有一个好消息是，我们获得了浙江敦和慈善基金会设立的“敦和种子基金”的捐赠。,2015冬季通讯,en,32,跳到句段
拼写,还有一个好消息是，我们获得了浙江敦和慈善基金会设立的“敦和种子基金”的捐赠。,2015冬季通讯,en,32,跳到句段
拼写,这笔捐赠将用于投资“敦和慈善基金”，并将投资回报用于基金会的管理费用。,2015冬季通讯,en,33,跳到句段
拼写,我们觉得，这件事是对我们它基金的理想以及各项工作的一种肯定，更给我们在基金会运营方面解决了具体的困难，提供了更多的运营思路。,2015冬季通讯,en,34,跳到句段
拼写,我们要郑重地对敦和慈善基金会的善举表示感谢。,2015冬季通讯,en,35,跳到句段
拼写,如果您想帮我们节省邮费，支持环保，请告诉我们将来只用电子邮件的方式给您寄送每个季度的工作报告（报告的最后有我们的联系方式）。,2015冬季通讯,en,6,跳到句段
